product_name,product_price,product_category,product_color
Giannis Immortality 4,999000,Older Kids' Basketball Shoes,8 Colours
Nike Vaporfly 3,3399000,Men's Road Racing Shoes,2 Colours
Nike Dunk Low Premium,2099000,Women's Shoes,2 Colours
Nike IsoFly,959000,Older Kids' Basketball Shoes,5 Colours
Nike Court Vision Low,1069000,Men's Shoes,1 Colour
Nike Air Max Plus Premium,2849000,Men's Shoes,1 Colour
Nike P-6000,1729000,Women's Shoes,2 Colours
Nike Air Max 1 SP,2489000,Men's Shoes,1 Colour
Nike Cortez Textile,1549000,Women's Shoes,2 Colours
Nike Air Force 1 '07,1549000,Men's Shoe,1 Colour
Giannis Immortality 4 EP,1199000,Basketball Shoes,10 Colours
Nike Metcon 9,2199000,Women's Workout Shoes,3 Colours
NikeCourt Lite 4,1149000,Women's Tennis Shoes,5 Colours
Nike Air Force 1 '07,1549000,Men's Shoes,2 Colours
Nike Air Force 1 '07,1549000,Women's Shoes,3 Colours
Nike Tiempo Legend 10 Club,799000,Multi-Ground Low-Top Football Boot,2 Colours
Nike Phantom Luna 2 Elite Electric,4539000,FG High-Top Football Boot,1 Colour
Nike Mercurial Superfly 10 Elite,4329000,FG High-Top Football Boot,4 Colours
Nike Pegasus 41,2099000,Men's Road Running Shoes,8 Colours
NikeCourt Lite 4,1149000,Men's Tennis Shoes,4 Colours
Nike Air Max Dn,1759000,Older Kids' Shoes,3 Colours
Nike Air Max Dn8,3049000,Men's Shoes,5 Colours
Nike Air Max Dn8,3049000,Women's Shoes,4 Colours
Nike Air Max Dn8,2549000,Older Kids' Shoes,1 Colour
Giannis Immortality 4,999000,Older Kids' Basketball Shoes,8 Colours
Nike Vaporfly 3,3399000,Men's Road Racing Shoes,2 Colours
Nike Dunk Low Premium,2099000,Women's Shoes,2 Colours
Nike IsoFly,959000,Older Kids' Basketball Shoes,5 Colours
Nike Court Vision Low,1069000,Men's Shoes,1 Colour
Nike Air Max Plus Premium,2849000,Men's Shoes,1 Colour
Nike P-6000,1729000,Women's Shoes,2 Colours
Nike Air Max 1 SP,2489000,Men's Shoes,1 Colour
Nike Cortez Textile,1549000,Women's Shoes,2 Colours
Nike Air Force 1 '07,1549000,Men's Shoe,1 Colour
Giannis Immortality 4 EP,1199000,Basketball Shoes,10 Colours
Nike Metcon 9,2199000,Women's Workout Shoes,3 Colours
NikeCourt Lite 4,1149000,Women's Tennis Shoes,5 Colours
Nike Air Force 1 '07,1549000,Men's Shoes,2 Colours
Nike Air Force 1 '07,1549000,Women's Shoes,3 Colours
Nike Tiempo Legend 10 Club,799000,Multi-Ground Low-Top Football Boot,2 Colours
Nike Phantom Luna 2 Elite Electric,4539000,FG High-Top Football Boot,1 Colour
Nike Mercurial Superfly 10 Elite,4329000,FG High-Top Football Boot,4 Colours
Nike Pegasus 41,2099000,Men's Road Running Shoes,8 Colours
NikeCourt Lite 4,1149000,Men's Tennis Shoes,4 Colours
Nike Air Max Dn,1759000,Older Kids' Shoes,3 Colours
Nike Air Max Dn8,3049000,Men's Shoes,5 Colours
Nike Air Max Dn8,3049000,Women's Shoes,4 Colours
Nike Air Max Dn8,2549000,Older Kids' Shoes,1 Colour
Giannis Immortality 4,999000,Older Kids' Basketball Shoes,8 Colours
Nike Vaporfly 3,3399000,Men's Road Racing Shoes,2 Colours
Nike Dunk Low Premium,2099000,Women's Shoes,2 Colours
Nike IsoFly,959000,Older Kids' Basketball Shoes,5 Colours
Nike Court Vision Low,1069000,Men's Shoes,1 Colour
Nike Air Max Plus Premium,2849000,Men's Shoes,1 Colour
Nike P-6000,1729000,Women's Shoes,2 Colours
Nike Air Max 1 SP,2489000,Men's Shoes,1 Colour
Nike Cortez Textile,1549000,Women's Shoes,2 Colours
Nike Air Force 1 '07,1549000,Men's Shoe,1 Colour
Giannis Immortality 4 EP,1199000,Basketball Shoes,10 Colours
Nike Metcon 9,2199000,Women's Workout Shoes,3 Colours
NikeCourt Lite 4,1149000,Women's Tennis Shoes,5 Colours
Nike Air Force 1 '07,1549000,Men's Shoes,2 Colours
Nike Air Force 1 '07,1549000,Women's Shoes,3 Colours
Nike Tiempo Legend 10 Club,799000,Multi-Ground Low-Top Football Boot,2 Colours
Nike Phantom Luna 2 Elite Electric,4539000,FG High-Top Football Boot,1 Colour
Nike Mercurial Superfly 10 Elite,4329000,FG High-Top Football Boot,4 Colours
Nike Pegasus 41,2099000,Men's Road Running Shoes,8 Colours
NikeCourt Lite 4,1149000,Men's Tennis Shoes,4 Colours
Nike Air Max Dn,1759000,Older Kids' Shoes,3 Colours
Nike Air Max Dn8,3049000,Men's Shoes,5 Colours
Nike Air Max Dn8,3049000,Women's Shoes,4 Colours
Nike Air Max Dn8,2549000,Older Kids' Shoes,1 Colour
Giannis Immortality 4,999000,Older Kids' Basketball Shoes,8 Colours
Nike Vaporfly 3,3399000,Men's Road Racing Shoes,2 Colours
Nike Dunk Low Premium,2099000,Women's Shoes,2 Colours
Nike IsoFly,959000,Older Kids' Basketball Shoes,5 Colours
Nike Court Vision Low,1069000,Men's Shoes,1 Colour
Nike Air Max Plus Premium,2849000,Men's Shoes,1 Colour
Nike P-6000,1729000,Women's Shoes,2 Colours
Nike Air Max 1 SP,2489000,Men's Shoes,1 Colour
Nike Cortez Textile,1549000,Women's Shoes,2 Colours
Nike Air Force 1 '07,1549000,Men's Shoe,1 Colour
Giannis Immortality 4 EP,1199000,Basketball Shoes,10 Colours
Nike Metcon 9,2199000,Women's Workout Shoes,3 Colours
NikeCourt Lite 4,1149000,Women's Tennis Shoes,5 Colours
Nike Air Force 1 '07,1549000,Men's Shoes,2 Colours
Nike Air Force 1 '07,1549000,Women's Shoes,3 Colours
Nike Tiempo Legend 10 Club,799000,Multi-Ground Low-Top Football Boot,2 Colours
Nike Phantom Luna 2 Elite Electric,4539000,FG High-Top Football Boot,1 Colour
Nike Mercurial Superfly 10 Elite,4329000,FG High-Top Football Boot,4 Colours
Nike Pegasus 41,2099000,Men's Road Running Shoes,8 Colours
NikeCourt Lite 4,1149000,Men's Tennis Shoes,4 Colours
Nike Air Max Dn,1759000,Older Kids' Shoes,3 Colours
Nike Air Max Dn8,3049000,Men's Shoes,5 Colours
Nike Air Max Dn8,3049000,Women's Shoes,4 Colours
Nike Air Max Dn8,2549000,Older Kids' Shoes,1 Colour
Giannis Immortality 4,999000,Older Kids' Basketball Shoes,8 Colours
Nike Vaporfly 3,3399000,Men's Road Racing Shoes,2 Colours
Nike Dunk Low Premium,2099000,Women's Shoes,2 Colours
Nike IsoFly,959000,Older Kids' Basketball Shoes,5 Colours
